,Nehan Shaikh,ameen,ananya,hari,izmath,juzaila,neha,nithya,poorna,pradeep,pratham,sajjad,shravya,shreyas,suhan,swathi,theerthesh,varsha,vikas,vishali,Unknown
Nehan Shaikh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ameen,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ananya,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hari,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
izmath,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
juzaila,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neha,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nithya,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
poorna,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
pradeep,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
pratham,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
sajjad,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
shravya,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
shreyas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
suhan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
swathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
theerthesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
varsha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
vikas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
vishali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
